电影名,年份,地区,剧情类型,导演,主演,评分,评论人数,简介
无敌破坏王,2012 , 美国 , 喜剧 动画 奇幻 冒险, 瑞奇·莫尔 Rich Moore   ,约翰·C·赖利 John C. Reilly / 萨拉...,8.7,304341人评价,永远看不腻的喜剧。
虎口脱险,1966 , 法国 英国 , 喜剧 战争, 杰拉尔·乌里 Gérard Oury   ,路易·德·菲耐斯 Louis de Funès...,8.9,140318人评价,松鼠才是角儿。
冰川时代,2002 , 美国 , 喜剧 动画 冒险, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   ,无介绍...,8.5,376494人评价,有一些东西不应该被遗忘。
二十二,2015 , 中国大陆 , 纪录片, 卡洛斯·沙尔丹哈 Carlos Saldanha ,,8.7,167202人评价,大海啊，不全是水。
海洋,2009 , 法国 瑞士 西班牙 美国 阿联酋 , 纪录片, 郭柯 Ke Guo   ,...,9.0,116163人评价,骨灰级歌舞片。
雨中曲,1952 , 美国 , 喜剧 歌舞 爱情, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   ,吉恩·...,9.0,124289人评价,本页有的电影没简介，建议查看核对，链接:https://movie.douban.com/top250?start=150&amp;filter=
爆裂鼓手,2014 , 美国 , 剧情 音乐, 达米恩·查泽雷 Damien Chazelle   ,迈尔斯·特勒 Miles Teller /...,8.6,322577人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
未麻的部屋,1997 , 日本 , 动画 奇幻 惊悚, 今敏 Satoshi Kon   ,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,8.9,146170人评价,好的剧本是，就算你猜到了结局也猜不到全部。
模仿游戏,2014 , 英国 美国 , 剧情 传记 战争 同性, 莫滕·泰杜姆 Morten Tyldum   ,本尼迪克特·康伯巴奇 Benedict C...,8.6,353174人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
一个叫欧维的男人决定去死,2015 , 瑞典 , 剧情, 汉内斯·赫尔姆 Hannes Holm   ,罗夫·拉斯加德 Rolf Lassgård...,8.8,193794人评价,惠及一生的美丽。
燃情岁月,1994 , 美国 , 剧情 爱情 战争 西部, 爱德华·兹威克 Edward Zwick   ,布拉德·皮特 Brad Pitt / 安东...,8.8,184387人评价,传奇，不是每个人都可以拥有。
人工智能,2001 , 美国 , 冒险 剧情 科幻, 史蒂文·斯皮尔伯格 Steven Spielberg   ,海利·乔·奥斯蒙 Haley...,8.6,257063人评价,对爱的执着，可以超越一切。
忠犬八公物语,1987 , 日本 , 剧情, Seijirô Kôyama   ,山本圭 Kei Yamamoto / 井川比佐志 Hisa...,9.1,95754人评价,养狗三日，便会对你终其一生。
哪吒闹海,1979 , 中国大陆 , 冒险 动画 奇幻, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang   ,梁正晖 Zhenghui ...,9.0,126241人评价,想你时你在闹海。
穿越时空的少女,2006 , 日本 , 剧情 爱情 科幻 动画, 细田守 Mamoru Hosoda   ,仲里依纱 Riisa Naka / 石田卓也 Takuya...,8.6,248464人评价,爱上未来的你。
房间,2015 , 爱尔兰 加拿大 英国 美国 , 剧情 家庭, 伦尼·阿伯拉罕森 Lenny Abrahamson   ,布丽·拉尔森 Brie Larson...,8.8,228004人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
魔女宅急便,1989 , 日本 , 动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki   ,高山南 Minami Takayama / 佐久间玲 Re...,8.6,279069人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
